County Code,Site Num,Latitude,Longitude,AQS Parameter Desc,Date Local,AQI,AQI Description,AQI Color
3,3,41.492707,-112.018863,Ozone,2001-09-30,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-29,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-28,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-27,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-26,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-25,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-24,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-23,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-22,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-21,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-20,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-19,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-18,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-17,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-16,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-15,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-14,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-13,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-12,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-11,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-10,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-09,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-08,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-07,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-06,29.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2001-09-05,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2001-09-04,48.0,Good,Green
