County Code,Site Num,Latitude,Longitude,AQS Parameter Desc,Date Local,AQI,AQI Description,AQI Color
3,3,41.492707,-112.018863,Ozone,2005-09-30,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-29,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-28,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-27,33.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-26,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-25,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-24,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-23,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-22,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-21,31.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-20,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-19,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-18,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-17,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-16,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-09-15,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-14,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-13,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-12,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-11,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-10,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-09,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-08,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-09-07,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-09-06,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-05,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-04,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-09-03,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-09-02,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-09-01,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-31,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-30,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-08-29,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-28,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-27,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-26,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-08-25,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-08-24,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-08-23,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-22,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-08-21,83.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-20,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-19,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-18,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-08-17,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-08-16,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-08-15,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-14,90.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-13,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-12,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-11,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-10,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-09,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-08,108.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-08-07,132.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-08-06,125.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-08-05,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-08-04,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-03,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-02,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-08-01,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-31,83.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-30,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-29,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-28,111.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-27,100.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-26,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-25,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-07-24,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-23,111.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-22,108.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-21,104.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-20,151.0,Unhealthy,Red
3,3,41.492707,-112.018863,Ozone,2005-07-19,146.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-18,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-17,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-16,100.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-15,100.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-14,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-07-13,129.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-12,111.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-11,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-10,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-07-09,111.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-08,108.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-07,122.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-07-06,158.0,Unhealthy,Red
3,3,41.492707,-112.018863,Ozone,2005-07-05,83.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-04,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-03,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-07-02,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-07-01,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-30,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-29,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-28,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-27,118.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-06-26,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-25,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-24,104.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2005-06-23,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-22,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-21,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-20,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-19,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-18,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-17,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-16,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-15,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-14,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-13,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-12,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-11,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-10,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-09,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-08,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-07,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-06,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-05,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-04,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-03,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-06-02,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-06-01,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-05-31,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-05-30,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-05-29,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-05-28,93.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-05-27,83.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-05-26,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-05-25,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2005-05-24,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2005-05-22,36.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-30,64.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-09-29,54.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-09-28,49.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-27,39.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-26,46.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-25,40.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-24,42.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-23,49.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-22,50.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-21,41.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-20,67.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-09-19,51.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-09-18,45.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-17,46.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-15,49.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-13,44.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-12,44.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-11,50.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-10,38.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-09,46.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-08,64.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-09-07,64.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-09-06,51.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-09-05,35.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-04,49.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-03,50.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-09-02,70.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-09-01,70.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-31,70.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-30,42.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-08-29,73.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-28,60.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-27,73.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-26,60.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-25,57.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-24,48.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-08-23,67.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-22,70.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-21,86.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-20,93.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-19,70.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-18,49.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-08-17,50.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-08-16,43.0,Good,Green
3,7001,41.945874,-112.233973,Ozone,2005-08-15,73.0,Moderate,Yellow
3,7001,41.945874,-112.233973,Ozone,2005-08-14,77.0,Moderate,Yellow
