County Code,Site Num,Latitude,Longitude,AQS Parameter Desc,Date Local,AQI,AQI Description,AQI Color
3,3,41.492707,-112.018863,Ozone,2002-09-30,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-29,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-28,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-27,29.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-26,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-25,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-24,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-23,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-22,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-21,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-20,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-19,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-18,27.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-17,33.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-16,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-15,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-14,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-13,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-12,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-11,34.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-10,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-09,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-08,36.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-07,30.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-06,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-05,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-04,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-03,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-09-02,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-09-01,125.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-31,122.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-30,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-29,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-28,122.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-27,93.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-26,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-25,118.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-24,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-23,96.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-22,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-21,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-20,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-19,143.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-18,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-17,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-16,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-15,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-14,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-08-13,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-12,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-08-11,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-10,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-09,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-08,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-08-07,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-08-06,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-08-05,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-08-04,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-08-03,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-08-02,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-08-01,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-07-31,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-30,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-07-29,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-28,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-27,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-26,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-25,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-07-24,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-23,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-22,104.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-21,104.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-20,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-19,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-18,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-17,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-16,93.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-15,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-14,166.0,Unhealthy,Red
3,3,41.492707,-112.018863,Ozone,2002-07-13,111.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-12,118.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-11,100.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-10,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-09,108.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-08,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-07-07,125.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-06,115.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-05,136.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-04,96.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-03,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-07-02,150.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-07-01,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-30,90.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-29,83.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-28,115.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-06-27,111.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-06-26,129.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-06-25,176.0,Unhealthy,Red
3,3,41.492707,-112.018863,Ozone,2002-06-24,150.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-06-23,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-22,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-06-21,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-20,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-06-19,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-18,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-06-17,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-06-16,125.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-06-15,111.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-06-14,125.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-06-13,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-06-12,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-11,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-06-10,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-06-09,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-06-08,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-06-07,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-06,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-05,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-04,90.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-03,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-02,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-06-01,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-31,104.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2002-05-30,90.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-29,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-28,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-27,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-26,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-25,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-24,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-23,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-22,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-21,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-20,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-19,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-18,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-17,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2002-05-16,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-15,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-14,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-13,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-12,35.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-11,29.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-10,36.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-09,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-08,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2002-05-07,44.0,Good,Green
