County Code,Site Num,Latitude,Longitude,AQS Parameter Desc,Date Local,AQI,AQI Description,AQI Color
3,3,41.492707,-112.018863,Ozone,2010-09-30,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-29,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-28,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-09-27,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-26,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-09-25,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-24,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-23,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-22,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-21,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-20,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-19,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-18,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-09-17,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-16,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-15,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-14,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-13,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-12,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-09-11,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-10,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-09,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-08,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-07,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-09-06,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-05,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-04,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-03,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-09-02,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-09-01,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-08-31,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-08-30,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-08-29,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-08-28,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-08-27,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-26,101.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2010-08-25,122.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2010-08-24,93.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-23,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-22,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-08-21,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-20,83.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-19,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-08-18,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2010-08-17,86.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-16,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-15,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-14,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2010-08-13,50.0,Good,Green
