County Code,Site Num,Latitude,Longitude,AQS Parameter Desc,Date Local,AQI,AQI Description,AQI Color
3,3,41.492707,-112.018863,Ozone,2014-09-30,35.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-29,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-28,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-27,36.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-26,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-25,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-24,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-23,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-22,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-21,36.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-20,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-09-19,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-18,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-17,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-09-16,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-09-15,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-09-14,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-13,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-09-12,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-11,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-10,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-09,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-08,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-07,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-06,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-09-05,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-09-04,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-03,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-02,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-09-01,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-31,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-30,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-29,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-08-28,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-08-27,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-26,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-25,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-24,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-08-23,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-08-22,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-21,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-07,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-06,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-08-05,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-08-04,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-08-03,96.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-08-02,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-08-01,93.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-31,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-30,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-07-29,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-07-28,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-27,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-26,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-25,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-24,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-07-23,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-22,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-21,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-07-20,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-19,90.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-18,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-17,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-10,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-07-09,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-08,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-07,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-06,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-05,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-07-04,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-07-03,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-07-02,118.0,Unhealthy for Sensitive Groups,Orange
3,3,41.492707,-112.018863,Ozone,2014-07-01,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-30,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-29,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-28,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-27,33.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-26,34.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-25,90.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-24,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-23,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-22,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-21,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-20,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-19,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-18,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-17,34.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-16,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-15,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-14,36.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-13,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-12,93.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-11,60.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-10,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-09,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-08,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-07,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-06,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2014-06-05,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2014-06-04,64.0,Moderate,Yellow
