County Code,Site Num,Latitude,Longitude,AQS Parameter Desc,Date Local,AQI,AQI Description,AQI Color
3,3,41.492707,-112.018863,Ozone,2007-09-30,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-29,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-28,44.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-27,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-26,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-25,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-24,35.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-23,41.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-22,28.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-21,37.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-20,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-19,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-18,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-17,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-16,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-15,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-14,42.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-13,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-12,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-09-11,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-09-10,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-09,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-08,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-07,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-06,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-05,43.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-04,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-09-03,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-09-02,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-09-01,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-31,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-30,77.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-29,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-28,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-27,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-26,49.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-25,64.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-24,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-23,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-22,40.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-21,30.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-20,38.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-19,50.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-18,54.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-17,70.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-16,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-15,39.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-14,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-13,46.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-12,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-11,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-10,48.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-09,45.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-08,51.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-07,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-06,67.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-05,80.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-04,90.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-03,57.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-08-02,47.0,Good,Green
3,3,41.492707,-112.018863,Ozone,2007-08-01,73.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-07-31,83.0,Moderate,Yellow
3,3,41.492707,-112.018863,Ozone,2007-07-30,129.0,Unhealthy for Sensitive Groups,Orange
